,ID,Date,Guilty,心理諮商,鑑定書,測謊鑑定,驗傷診斷書,通話紀錄,對話紀錄,坦承,指述,繪圖,輔導紀錄,同事關係,同居關係,按摩,男女朋友
159,臺灣高等法院103年侵上訴字第202號刑事判決,民國103年07月22日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
160,臺灣高雄地方法院103年侵訴字第59號刑事判決,民國103年07月17日,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
161,臺灣臺東地方法院103年侵訴字第9號刑事判決,民國103年07月17日,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
162,臺灣高等法院臺中分院103年侵上訴字第59號刑事判決,民國103年07月16日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
163,臺灣高等法院103年侵上訴字第199號刑事判決,民國103年07月15日,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
164,臺灣高等法院高雄分院103年侵上訴字第4號刑事判決,民國103年07月10日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
165,臺灣彰化地方法院102年侵訴字第25號刑事判決,民國103年07月07日,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
166,臺灣臺南地方法院103年侵訴字第7號刑事判決,民國103年07月02日,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
167,臺灣雲林地方法院103年侵訴字第10號刑事判決,民國103年06月26日,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
168,臺灣彰化地方法院101年侵訴字第42號刑事判決,民國103年06月19日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
169,臺灣臺東地方法院102年原侵訴字第30號刑事判決,民國103年06月17日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
170,臺灣臺北地方法院102年侵訴字第80號刑事判決,民國103年06月13日,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
171,臺灣新北地方法院102年侵訴字第51號刑事判決,民國103年06月13日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
172,臺灣高等法院高雄分院103年侵上訴字第41號刑事判決,民國103年06月12日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
173,臺灣新北地方法院102年侵訴字第166號刑事判決,民國103年06月10日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
174,臺灣高等法院103年侵上訴字第53號刑事判決,民國103年06月04日,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
175,臺灣高雄地方法院102年侵訴字第96號刑事判決,民國103年06月03日,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
176,臺灣士林地方法院102年侵訴字第37號刑事判決,民國103年05月29日,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
177,臺灣高等法院102年侵上訴字第230號刑事判決,民國103年05月27日,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
178,臺灣雲林地方法院103年侵訴字第4號刑事判決,民國103年05月16日,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
179,臺灣桃園地方法院102年侵訴字第23號刑事判決,民國103年05月15日,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
180,臺灣雲林地方法院102年侵訴字第47號刑事判決,民國103年05月13日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
181,臺灣桃園地方法院102年侵訴字第144號刑事判決,民國103年05月07日,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
182,臺灣高等法院高雄分院102年侵上訴字第26號刑事判決,民國103年05月06日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
183,臺灣高等法院花蓮分院103年侵上更(二)字第1號刑事判決,民國103年05月02日,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
184,臺灣高等法院花蓮分院102年侵上更(一)字第7號刑事判決,民國103年04月30日,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
185,臺灣新北地方法院102年侵訴字第150號刑事判決,民國103年04月30日,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
186,臺灣高雄地方法院103年侵訴字第22號刑事判決,民國103年04月29日,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
187,臺灣高等法院臺南分院102年軍上更(二)字第1號刑事判決,民國103年04月24日,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
188,臺灣臺南地方法院103年侵訴字第4號刑事判決,民國103年04月23日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
189,臺灣高等法院臺南分院102年侵上訴字第541號刑事判決,民國103年04月16日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
190,臺灣屏東地方法院103年侵訴字第4號刑事判決,民國103年04月14日,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
191,臺灣桃園地方法院101年侵訴字第148號刑事判決,民國103年04月11日,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,臺灣高等法院101年侵上更(一)字第39號刑事判決,民國103年04月08日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
193,臺灣高雄地方法院103年侵訴字第18號刑事判決,民國103年04月08日,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
194,臺灣臺北地方法院102年侵訴字第49號刑事判決,民國103年04月03日,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
195,臺灣基隆地方法院102年侵訴字第43號刑事判決,民國103年03月31日,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
196,臺灣新北地方法院102年侵訴字第182號刑事判決,民國103年03月20日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
197,臺灣屏東地方法院102年侵訴字第55號刑事判決,民國103年03月17日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
